,keyword,text,lat,long,census,comp,category,CensusTract,LILATracts_1And10
3722,starbucks,"Can you recommend anyone for this #Retail job in #Herndon, VA? Click the link in our bio to see it and more. shift supervisor - Store# 07526, FOX MILL CENTER at Starbucks",38.9277293,-77.3751647,51059481106,0.3612,fast_food,51059481106,0
3723,starbucks,"Can you recommend anyone for this #Retail job in #Herndon, VA? Click the link in our bio to see it and more. shift supervisor - Store# 07526, FOX MILL CENTER at Starbucks",38.927729299999996,-77.3751647,51059481106,0.3612,fast_food,51059481106,0
3724,starbucks,"Can you recommend anyone for this #Retail job in #AnnArbor, MI? Click the link in our bio to see it and more. barista - Store# 11966, GLENCOE CROSSING at Starbucks",42.2522678,-83.6691726,26161414000,0.3612,fast_food,26161414000,0
3725,starbucks,"I'm at Starbucks in Ann Arbor, MI  ",42.25226156,-83.66930693,26161414000,0.0,fast_food,26161414000,0
3726,starbucks,"Can you recommend anyone for this #Retail job in #AnnArbor, MI? Click the link in our bio to see it and more. barista - Store# 11966, GLENCOE CROSSING at Starbucks",42.2522678,-83.6691726,26161414000,0.3612,fast_food,26161414000,0
3727,starbucks,"I'm at Starbucks in Cedar Hill, TX ",32.591293,-96.93567,48113016625,0.4995,fast_food,48113016625,0
3728,starbucks,Twinny twin twin #Twinning #Younglife @ Starbucks ,32.591293,-96.93567,48113016625,0.0,fast_food,48113016625,0
3729,starbucks,"I'm at Starbucks in Cedar Hill, TX ",32.591293,-96.93567,48113016625,0.4995,fast_food,48113016625,0
3730,starbucks,"I'm at Starbucks in Cedar Hill, TX ",32.591293,-96.93567,48113016625,0.4995,fast_food,48113016625,0
3731,starbucks,"Spring has spring at Radford University! The fountain is flowing, the students are filling the lawns and Im celebrating with a trip to Starbucks! #RadfordU #coffee @ Radford ",37.13765567,-80.55066592,51750010102,0.6467,fast_food,51750010102,1
3732,starbucks,"Spring has spring at Radford University! The fountain is flowing, the students are filling the lawns and Im celebrating with a trip to Starbucks! #RadfordU #coffee @ Radford ",37.13765567,-80.55066592,51750010102,0.6467,fast_food,51750010102,1
3733,starbucks,"I'm at Starbucks in Monroe, CT ",41.32822186,-73.26685344,09001100100,0.0,fast_food,09001100100,0
3734,starbucks,"I'm at Starbucks in Monroe, CT ",41.32822186,-73.26685344,09001100100,0.0,fast_food,09001100100,0
3735,starbucks,"I'm at Starbucks in Monroe, CT ",41.32822186,-73.26685344,09001100100,0.0,fast_food,09001100100,0
3736,starbucks,"I'm at Starbucks in Cincinnati, OH ",39.164396,-84.514832,39061007300,0.0,fast_food,39061007300,0
3737,starbucks,"I'm at Starbucks in Cincinnati, OH ",39.164396,-84.514832,39061007300,0.0,fast_food,39061007300,0
3738,starbucks,"I'm at Starbucks in Dallas, TX ",32.813892,-96.82923,48113000401,0.4995,fast_food,48113000401,0
3739,starbucks,"I'm at Starbucks in Dallas, TX ",32.813891999999996,-96.82923000000001,48113000401,0.4995,fast_food,48113000401,0
3740,starbucks,"See our latest #Eldersburg, MD #Retail job opportunity and click the link in our bio to apply: barista - Store# 16053, ELDERSBURG MD at Starbucks",39.4030659,-76.9434937,24013505102,0.4215,fast_food,24013505102,0
